game_id,team,number,player_name,player_url,starter,min,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate
741614,מכבי קרית גת,8,אלון דניאלי,https://ibasketball.co.il/player/3868ec2f99d79748-92659547/,0,12,8,1,4,25.0,1,2,50.0,2,6,33.3,3,3,100.0,3,1,4,2,2,1,1,0,0,0,8
741614,מכבי קרית גת,11,שי כהן,https://ibasketball.co.il/player/3768ec2f341e5a48-91917498/,0,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1
741614,מכבי קרית גת,41,אמרי כגן,https://ibasketball.co.il/player/3668ec2e6f878119-96513289/,0,2,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,1,0,0
741614,מכבי קרית גת,32,זיו ברקו,https://ibasketball.co.il/player/2068ec26905fbdd2-26335049/,0,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
741614,הפועל נווה שאנן חיפה,11,אקסבייר ג'ונסון,https://ibasketball.co.il/player/1068ec9c7d3e13d0-67259909/,1,36,13,4,13,30.8,1,5,20.0,5,18,27.8,2,2,100.0,4,1,5,2,4,2,4,3,2,2,8
741614,הפועל נווה שאנן חיפה,5,דניאל רוזנבאום,https://ibasketball.co.il/player/3368ec9c9a484819-88599380/,1,33,8,2,3,66.7,1,4,25.0,3,7,42.9,1,3,33.3,6,4,10,3,4,1,1,4,0,1,16
741614,הפועל נווה שאנן חיפה,1,וסלי האריס,https://ibasketball.co.il/player/1168ec9c7d985391-20060054/,1,30,24,7,15,46.7,2,8,25.0,9,23,39.1,4,6,66.7,4,3,7,3,4,1,0,1,3,0,21
741614,הפועל נווה שאנן חיפה,10,שוהם גת,https://ibasketball.co.il/player/3568ec9c8d338894-28461504/,1,23,2,0,1,0.0,0,1,0.0,0,2,0.0,2,2,100.0,4,0,4,4,1,0,2,2,0,0,1
741614,הפועל נווה שאנן חיפה,83,עידו רוימי,https://ibasketball.co.il/player/3568ec9c8a564b22-21934922/,1,21,10,4,7,57.1,0,3,0.0,4,10,40.0,2,3,66.7,2,0,2,0,6,1,0,0,0,0,12
741614,הפועל נווה שאנן חיפה,36,דנאל כוזהינוף,https://ibasketball.co.il/player/3268ec9c86d936f0-52580028/,0,21,2,1,4,25.0,0,4,0.0,1,8,12.5,0,2,0.0,1,0,1,3,2,2,6,6,0,0,-5
741614,הפועל נווה שאנן חיפה,14,גיא חמו,https://ibasketball.co.il/player/2068ec9c807f5e94-25859398/,0,14,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,1,0,0,1,0,0,0,-3
741614,הפועל נווה שאנן חיפה,45,אילון פולג,https://ibasketball.co.il/player/3468ec9c9516a1e9-00167968/,0,8,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1
