Name,Current Team,Date Of Birth,Height,Number,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
איתי ירום,"מכבי מנדל פ""ת",2006/03/25,1.97,9.0,"מכבי פתח תקווה מנדל (ארצית צפון), הפועל נס ציונה חי מו (ליגת על)",מכבי פתח תקוה נחמן (נוער על גמרסל),,,,,,,,,,
איתי קרביוב,מכבי מעלה אדומים,1985/03/20,1.98,11.0,א.ס. אשקלון/קרית גת (ארצית דרום),אליצור יבנה (ארצית דרום),אליצור יבנה (ארצית דרום),אליצור יבנה (ארצית דרום),הפועל כפר סבא שלום (ארצית צפון),הפועל כפר סבא שלום (ארצית - צפון),"א.ס. רמה""ש ירק השדה (ארצית - צפון)","א.ס. רמה""ש ירק השדה (ארצית - צפון)",אליצור נתניה עירוני (ארצית - צפון),מכבי בת ים (ארצית -דרום),מכבי הוד השרון סנו (לאומית),מכבי רעננה עירוני (ארצית - צפון)
איתי שניידר,הפועל נווה שאנן חיפה,2006/09/18,1.92,18.0,"מכבי קרית מוצקין (ארצית צפון), הפועל נווה שאנן חיפה שובל (ליגת על)",הפועל נווה שאנן חיפה שובל (נוער על צפון),,,,,,,,,,
איתם כהן,מ.כ עוטף דרום,2005/10/26,1.78,1.0,מועדון כדורסל עוטף ד (לאומית),הפועל עמק חפר אלטשול (נוער על גמרסל),,,,,,,,,,
איתן בש,אליצור שומרון,2003/06/28,2.01,4.0,הפועל כפר קאסם (לאומית),הפועל מגידו (ארצית צפון),מכבי חיפה עתודה (א שרון),מכבי חיפה אסי (נוער על גמרסל),,,,,,,,
איתן דרוט,"א.ס רמה""ש ירק השדה",2002/04/17,2.08,3.0,"א.ס. רמה""ש ירק השדה (לאומית)","מכבי חדרה (ארצית צפון), אליצור נתניה עירוני (לאומית)",,,"הפועל ת""א אוסישקין (נוער לאומית דרום)",,,,,,,
אלון דניאלי,מכבי קרית גת,2006/11/25,2.0,8.0,"הפועל נס ציונה חי מו (ליגת על), הפועל נס ציונה רוטנש (נוער על גמרסל)",,,,,,,,,,,
אלון דרוקר,הפועל אסטרל אילת,2000/09/27,1.8,24.0,הפועל נס ציונה חי מו (ליגת על),אליצור שומרון חלפ (לאומית),הפועל עפולה (לאומית),א.ס. עירוני אשקלון (לאומית),הפועל לוד (ארצית דרום),"הפועל נס ציונה חי מו (ליגת על), א.ס. עירוני אשקלון (לאומית)",מכבי רמת גן קבוצת כנ (ארצית -דרום),הפועל נס ציונה רוטנש (נוער על - גמרסל),,,,
אלון הרשקוביץ,הפועל מגדל העמק/יזרעאל,2005/09/20,1.94,35.0,הפועל מגדל העמק יזרע (לאומית),הפועל מגידו (ארצית צפון),הפועל עמק יזרעאל (נוער על גמרסל),,,,,,,,,
אלון ראכלין,מכבי גיא נתן חיפה,2007/05/12,1.95,9.0,הפועל תל אביב יהודה (נוער על גמרסל),,,,,,,,,,,
אלונזו סולה,"מכבי מנדל פ""ת",1999/07/07,2.01,77,,,,,,,,,,,,
אליה נקר,מכבי אשדוד יאשה,2008/04/14,1.92,18,,,,,,,,,,,,
אליהו כהן,א.ס. עירוני אשקלון,2009/09/15,,,,,,,,,,,,,,
אליעד טל,הפועל אסטרל אילת,2002/05/14,1.96,23.0,הפועל חולון (ליגת על),"מכבי רחובות (לאומית), א.ס. עירוני אשקלון (לאומית)",הפועל רמת גן/גבעתיים (לאומית),הפועל רמת גן/גבעתיים (לאומית),הפועל תל אביב יהודה (נוער על גמרסל),,,,,,,
אלכס צוברביץ',עירוני נהריה,1986/07/23,2.12,7.0,הפועל נהריה (לאומית),הפועל נהריה (לאומית),הפועל נהריה (לאומית),הפועל נהריה (לאומית),מכבי חיפה גיא (ליגת על),מכבי ראשון לציון (ליגת על),הפועל ירושלים ב.יהב (ליגת על),,הפועל חולון (ליגת על),מכבי חיפה גיא (ליגת על),מכבי חיפה גיא (ליגת על),מכבי חיפה גיא (ליגת על)
אמיתי אפנג'ר,מכבי מעלה אדומים,2000/01/30,1.98,14.0,מכבי דימונה (ארצית דרום),,,,,,,,,,,
אמיתי מסיל,מכבי מעלה אדומים,2005/12/14,,23,מכבי מעלה אדומים (ארצית דרום),מכבי מעלה אדומים (נוער ארצית דרום),,,,,,,,,,
אמרי כגן,מכבי קרית גת,2005/02/22,2.1,41.0,מכבי תל אביב/שהם (ארצית דרום),אליצור שומרון חלפ (לאומית),הפועל תל אביב יהודה (נוער על גמרסל),,,,,,,,,
אמרי שביט,מכבי אשדוד,2003/03/01,1.99,6.0,אליצור נתניה עירוני (ליגת על),"א.ס. רמה""ש ירק השדה (לאומית), אליצור נתניה עירוני (לאומית)",מכבי תל אביב/שהם (ארצית -א בית דרום),א.ס. רמת השרון (נוער על גמרסל),,,,,,,,
אסף דוד פשין,"א.ס רמה""ש ירק השדה",2005/01/17,,85,,,,,,,,,,,,
אסף כהן,אליצור שומרון,2006/06/13,1.81,13,,,,,,,,,,,,
אקסבייר ג'ונסון,הפועל נווה שאנן חיפה,1993/06/08,2.01,11,,,,,,,,,,,,
אר ג׳יי גלאספר,א.ס. עירוני אשקלון,1998/04/25,1.83,11,,,,,,,,,,,,
ארי עמיאל,אליצור יבנה,2008/01/22,1.88,7.0,הפועל תל אביב יהודה (נוער על גמרסל),,,,,,,,,,,
אריאל ג'אן,א.ס. עירוני אשקלון,2008/09/19,1.98,,,,,,,,,,,,,
בן אונצ'ה,מכבי קרית גת,2004/05/06,1.89,18.0,הפועל כפר סבא שלום (לאומית),הפועל נהריה (לאומית),מכבי ראשון לציון (לאומית),,"מכבי ראשל""צ איציק (נוער על גמרסל)","מכבי ראשל""צ יאיר (נערים א' לאומית דרום)","מכבי ראשל""צ יאיר (נערים א לאומית גמרסל)","מכבי ראשל""צ אלון (גמרסל ילדים א לאומית)","מכבי ראשל""צ דקל (ילדים א' לאומית מרכז)","מכבי ראשל""צ סביון (ילדים ב' מרכז א)","מכבי ראשל""צ ברוש (קט סל א'-מרכז ב')","מכבי ראשל""צ סחלב (קט סל ב'-מרכז)"
בן גולד,מכבי אשדוד,2001/08/09,2.02,32,,,,,,,,,,,,
בר רוטשטיין,עירוני נהריה,2004/04/23,1.90,35,,,,,,,,,,,,
בר שינבוים,מכבי אשדוד,2000/03/30,1.85,11.0,מכבי אשדוד (ארצית דרום),"אליצור יבנה (ארצית דרום), אליצור נווה דוד רמלה (ארצית דרום)",אליצור יבנה (ארצית דרום),אליצור יבנה (ארצית דרום),"אליצור נווה דוד רמלה (ארצית דרום), אליצור יבנה (לאומית)","אליצור נווה דוד רמלה (ארצית -דרום), אליצור יבנה (לאומית)",אליצור יבנה דנן (נוער על - גמרסל),,,,,
בר שפע,מכבי מעלה אדומים,1998/07/20,1.9,64.0,מכבי מעלה אדומים (ארצית דרום),הפועל טבריה (ארצית צפון),הפועל מגדל העמק יזרע (ארצית צפון),מכבי מעלה אדומים (לאומית),מכבי מעלה אדומים (ארצית דרום),,,,,,,
ברדלי צ'מוני אזווירו,,2002/07/03,2.05,22,,,,,,,,,,,,
ברנדון באומן,א.ס. עירוני אשקלון,1984/10/15,2.06,5.0,מכבי רעננה עירוני (לאומית),מכבי חיפה גיא (לאומית),,,,,,,,,,
ברנדון וואטרספון,,2000/10/27,1.93,4,,,,,,,,,,,,
ברק אוריון,מכבי מעלה אדומים,1998/06/03,1.98,13.0,מכבי מעלה אדומים (ארצית דרום),מכבי מעלה אדומים (לאומית),הפועל מגדל העמק יזרע (ארצית צפון),מכבי מעלה אדומים (לאומית),מכבי מעלה אדומים (ארצית דרום),מכבי מעלה אדומים (ארצית -דרום),,,אקדמיית וינגייט (ארצית - צפון),אקדמיית וינגייט (נוער לאומיתדרוםעליון),,
ג'ונתן פיירל,הפועל מגדל העמק/יזרעאל,1993/06/22,2.01,2.0,הפועל צפת/גליל דניאל (לאומית),,,,,,,,,,,
ג'וש אלדריך,מכבי רחובות,1999/11/29,2.01,34.0,הפועל גליל גלבוע (ליגת על),הפועל גליל גלבוע (לאומית),,,,,,,,,,
ג'וש אנזיקור,מ.ס צפת,1997/06/13,2.03,11,,,,,,,,,,,,
ג'וש פרידקין,מכבי גיא נתן חיפה,1989/09/02,1.78,12.0,מכבי חיפה גיא (ארצית צפון),הפועל מגדל העמק יזרע (ארצית צפון),מכבי דימונה (א דרום),מכבי אשדוד (לאומית),,,,,,,,
ג'וש פרייס,מכבי גיא נתן חיפה,1996/07/29,2.06,99.0,הפועל גליל גלבוע (ליגת על),,,,,,,,,,,
ג'ייס טאונסנד,מכבי גיא נתן חיפה,2000/07/15,1.93,1,,,,,,,,,,,,
ג׳אמארי סמית,א.ס. עירוני אשקלון,2000/07/19,1.98,14,,,,,,,,,,,,
גיא חמו,הפועל נווה שאנן חיפה,2007/03/22,1.94,14.0,הפועל תל אביב יהודה (נוער על גמרסל),,,,,,,,,,,
גידי שיפר,מכבי קרית גת,2003/06/18,1.98,55.0,א.ס. אשקלון/קרית גת (ארצית דרום),אליצור יבנה (ארצית דרום),הפועל תל אביב שלמה (על גברים גמר סל),"הפועל ת""א אוסישקין (נוער לאומית דרום)",,,,,,,,
גל גילינסקי,"מכבי מנדל פ""ת",1995/04/12,1.95,10.0,אליצור יבנה (לאומית),מכבי ראשון לציון (לאומית),א.ס. עירוני אשקלון (לאומית),הפועל תל אביב שלמה (ליגת על),"אליצור יבנה (לאומית), הפועל נהריה (ליגת על)","א.ס. רמה""ש ירק השדה (לאומית)",אליצור יבנה (לאומית),הפועל גליל עליון (לאומית),הפועל כפר סבא שלום (לאומית),הפועל כפר סבא שלום (לאומית),מכבי רמת גן קבוצת כנ (לאומית),אליצור יבנה (לאומית)
גל שטרנברג,מ.כ עוטף דרום,1999/08/27,2.06,7.0,הפועל מגדל העמק יזרע (לאומית),הפועל תל אביב IBI (ליגת על),אליצור שומרון חלפ (לאומית),מכבי רעננה עירוני (לאומית),מכבי רעננה עירוני (לאומית),"הפועל תל אביב IBI (ליגת על), אליצור נתניה עירוני (לאומית)",מכבי בת ים (ארצית -דרום),"הפועל ת""א אוסישקין (נוער ארצית מרכז)",,,,
גלעד מלניק,מכבי גיא נתן חיפה,2001/03/01,1.85,14.0,מכבי חיפה גיא (ארצית צפון),"מכבי אשדוד (ארצית גברים-כרטיס 3), מכבי אשדוד (ארצית דרום)",מכבי הוד השרון סנו (ארצית צפון),הפועל לוד (ארצית דרום),מכבי פתח תקווה מנדל (ארצית דרום),מכבי רעננה עירוני (לאומית),מכבי רעננה עירוני (נוער על - גמרסל),,,,,
דאסטי האנאס,הפועל אסטרל אילת,1993/09/02,1.91,2.0,הפועל אילת (לאומית),הפועל תל אביב IBI (ליגת על),,,,,,,,,,
דווייט וילסון,מכבי אשדוד,1998/10/08,2.03,77,,,,,,,,,,,,
דויד מוסיס,א.ס. רמת השרון,2008/07/21,2.10,8,,,,,,,,,,,,
די ג'יי שארפ,מ.ס צפת,1996/12/19,1.88,33.0,הפועל צפת/גליל דניאל (לאומית),מכבי חיפה גיא (לאומית),מכבי חיפה גיא (לאומית),א.ס. עירוני אשקלון (לאומית),"הפועל ב""ש/דימונה אלט (ליגת על), הפועל גליל עליון (לאומית)","הפועל ב""ש/דימונה אלט (ליגת על)",הפועל גליל עליון (לאומית),הפועל כפר סבא שלום (לאומית),בני הרצליה פנלינק (ליגת על),מכבי רמת גן קבוצת כנ (לאומית),,
דיימונד סטון,מכבי קרית גת,1997/02/10,2.08,33,,,,,,,,,,,,
דימיטרי רוברטס,"א.ס רמה""ש ירק השדה",2000/01/22,1.73,2,,,,,,,,,,,,
דימיטריוס טרידוול,אליצור שומרון,1991/11/10,2.01,2.0,,,מכבי רמת גן קבוצת כנ (לאומית),,,,,,,,,
דין אלינגר,הפועל אסטרל אילת,2004/06/10,,4,הפועל חבל אילות (ארצית דרום),הפועל חבל אילות (ארצית דרום),הפועל חבל אילות (גמר ארצית-א),,,הפועל אילת (נערים א' לאומית דרום),הפועל אילת מטיילי (נערים א' מחוזית נגב),הפועל אילת פטקום (ילדים א' - נגב),הפועל אילת המכולת (ילדים א' - נגב),הפועל אילת (קט סל א'-נגב),,
דנאל כוזהינוף,הפועל נווה שאנן חיפה,2001/06/04,1.8,36.0,הפועל אילת (לאומית),"מכבי רמת גן קבוצת כנ (ליגת על), מכבי ראשון לציון (לאומית)",מכבי חיפה גיא (לאומית),מכבי חיפה גיא (לאומית),מכבי חיפה גיא (ליגת על),"הפועל תל אביב שלמה (ליגת על), מכבי ראשון לציון (ליגת על)",מכבי רמת גן אנדרי (נוער ארצית מרכז),,,,,
דניאל גריידי,אליצור יבנה,2006/02/08,1.95,10.0,מועדון כדורסל עוטף ד (לאומית),הפועל נס ציונה רוטנש (נוער על גמרסל),,,,,,,,,,
דניאל נג'ר,מכבי קרית גת,2001/10/03,1.92,24.0,א.ס. עירוני אשקלון (לאומית),"מכבי חיפה גיא (לאומית), מכבי מעלה אדומים (לאומית)",הפועל עפולה (לאומית),הפועל רמת גן/גבעתיים (לאומית),"מכבי חיפה עתודה (א צפון), הפועל עכו (לאומית), מכבי חיפה אסי (נוער על צפון), מכבי חיפה גיא (ליגת על)",מכבי חיפה עתודה (א' צפון),,,,,,
דניאל קופרברג,מ.ס צפת,1997/12/08,2.06,18.0,הפועל צפת/גליל דניאל (לאומית),"מכבי חיפה גיא (לאומית), הפועל צפת/גליל דניאל (לאומית)",מכבי חיפה גיא (לאומית),מכבי חיפה גיא (לאומית),"הפועל תל אביב שלמה (ליגת על), מכבי חיפה גיא (ליגת על)","הפועל תל אביב שלמה (ליגת על), מכבי חיפה גיא (ליגת על)",מכבי חיפה גיא (לאומית),מכבי חיפה גיא (ליגת על),מכבי חיפה גיא (ליגת על),מכבי חיפה אסי (נוער לאומיתצפוןעליון),,
דניאל ראובן,"א.ס רמה""ש ירק השדה",1999/08/25,1.88,10.0,"א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)",אליצור נתניה עירוני (לאומית),אליצור נתניה עירוני (לאומית),הפועל חבל אילות (ארצית דרום),הפועל אילת (ליגת על),,הפועל אילת (נוער לאומית דרום),,,,
דניאל רוזנבאום,הפועל נווה שאנן חיפה,1997/02/11,1.97,5.0,הפועל נווה שאנן חיפה שובל (ליגת על),הפועל נווה שאנן חיפה שובל (ליגת על),מכבי רמת גן קבוצת כנ (לאומית),א.ס. עירוני אשקלון (לאומית),"הפועל רמת גן/גבעתיים (לאומית), הפועל ירושלים ב.יהב (ליגת על)",הפועל ירושלים ב.יהב (ליגת על),,,,,,
דניאל שרון,מכבי רחובות,2005/11/08,2.03,6.0,מכבי רחובות (לאומית),מכבי רחובות עומר (נוער על דרום),,,,,,,,,,
דרק ווקר,מכבי רחובות,1997/11/09,2.06,5,,,,,,,,,,,,
דשון בורק,הפועל מגדל העמק/יזרעאל,1997/11/25,1.93,1.0,הפועל צפת/גליל דניאל (לאומית),,,,,,,,,,,
הראל דדון,מכבי רחובות,1998/05/04,1.95,26.0,מכבי ראשון לציון (לאומית),"מכבי רמת גן קבוצת כנ (ליגת על), מכבי ראשון לציון (לאומית)",מכבי רמת גן קבוצת כנ (לאומית),"א.ס. רמה""ש ירק השדה (לאומית)","מכבי הוד השרון סנו (לאומית), הפועל חולון (ליגת על)","מכבי הוד השרון סנו (לאומית), הפועל חולון (ליגת על)",הפועל חולון (ליגת על),הפועל חולון (ליגת על),הפועל חולון יורם (נוער לאומית דרום),,,
וינס קול,אליצור שומרון,1998/09/10,1.98,24,,,,,,,,,,,,
וסלי האריס,הפועל נווה שאנן חיפה,1997/04/15,2.03,1,,,,,,,,,,,,
זיו ברקו,מכבי קרית גת,2006/12/24,1.93,32.0,מכבי תל אביב טדי (נוער על גמרסל),,,,,,,,,,,
זיו מעוז,מכבי קרית גת,2002/09/12,1.91,12.0,אליצור יבנה (לאומית),הפועל גליל עליון (ליגת על),מכבי רעננה עירוני (לאומית),מכבי רמת גן קבוצת כנ (לאומית),"הפועל גליל עליון (לאומית), הפועל גליל עליון צפת (נוער על צפון)",,,,,,,
חן כלפון,"א.ס רמה""ש ירק השדה",1996/04/10,1.98,8.0,"א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)",מכבי ראשון לציון (לאומית),הפועל גליל גלבוע (ליגת על),הפועל גליל גלבוע (ליגת על),אליצור יבנה (לאומית),א.ס. עירוני אשקלון (לאומית),מכבי תל אביב/שהם (ארצית -דרום),הפועל נצר סרני אריק/ (א-מרכז),,מכבי ראשון לציון (ליגת על),"מכבי ראשל""צ איציק (נוער לאומית גמרסל על)"
טאז שרמן,מ.ס צפת,1999/07/19,1.93,12,,,,,,,,,,,,
טום סיגטי,הפועל מגדל העמק/יזרעאל,2002/04/18,1.92,6.0,הפועל מגידו (ארצית צפון),"הפועל מגידו (ארצית צפון), מכבי קרית מוצקין (ארצית צפון)",מכבי קרית מוצקין (ארצית צפון),הפועל גלבוע ברוש (ארצית צפון),הפועל גלבוע ברוש (ארצית צפון),הפועל עמק יזרעאל (נוער על צפון),,,,,,
טל חדד,מ.ס צפת,1999/11/10,1.92,4.0,הפועל צפת/גליל דניאל (לאומית),"הפועל כפר סבא שלום (ארצית גברים-כרטיס 3), הפועל כפר סבא שלום (ארצית צפון), הפועל עמק חפר (ארצית צפון)",הפועל עמק חפר (ארצית צפון),מכבי חדרה (ארצית צפון),הפועל כפר סבא שלום (ארצית צפון),הפועל כפר סבא שלום (ארצית - צפון),הפועל צפת/גליל דניאל (ארצית - צפון),הפועל צפת גליל (נוער ארצית צפון),,,,
טל פלד,מכבי רחובות,2002/09/14,1.95,9.0,מכבי רחובות (לאומית),"מכבי ראשון לציון (לאומית), מכבי רחובות (לאומית)",מכבי ראשון לציון (לאומית),מכבי ראשון לציון (ליגת על),"מכבי ראשל""צ איציק (נוער על גמרסל)",,,,,,,
טל צוויפלר,מכבי מעלה אדומים,2003/09/23,1.85,1.0,מכבי מעלה אדומים (ארצית דרום),הפועל טבריה (ארצית צפון),מכבי חדרה (ארצית צפון),מכבי חדרה עמיחי (נוער על תחתון צפון),,,,,,,,
טרה מקולום,"מכבי מנדל פ""ת",1995/06/04,2.01,1,,,,,,,,,,,,
יאיר שורץ,מכבי מעלה אדומים,2007/04/20,,,,,,,,,,,,,,
יבגני חולודוב,מכבי מעלה אדומים,1996/01/28,1.8,9.0,מכבי חיפה גיא (ארצית צפון),"מכבי אשדוד (ארצית גברים-כרטיס 3), מכבי אשדוד (ארצית דרום)",מכבי רחובות (לאומית),מכבי רחובות (ארצית דרום),מכבי מעלה אדומים (ארצית דרום),מכבי מעלה אדומים (ארצית -דרום),הפועל עכו (ארצית - צפון),מכבי רחובות (לאומית),,מכבי בת ים (ארצית -דרום),,"מכבי ראשל""צ איציק (נוער לאומית גמרסל על)"
יהודה ביטון,מ.ס צפת,2005/05/09,1.85,30.0,הפועל צפת/גליל דניאל (לאומית),הפועל צפת/גליל דניאל (לאומית),,,,הפועל גליל עליון צפת (נערים ב' לאומית צפון),,הפועל צפת/גליל (ילדים א' לאומית צפון),,הפועל צפת/גליל (קט-סל א'-צפון),,
יהונתן זלאיט,"מכבי מנדל פ""ת",2004/02/13,2.02,13.0,הפועל צפת/גליל דניאל (לאומית),אליצור לוד/נחל שורק (ארצית דרום),מכבי חדרה (ארצית צפון),הפועל כפר סבא אביב (נוער על גמרסל),מכבי רעננה (נערים א לאומית מרכז),,,,,,,
יהונתן סלע,אליצור שומרון,2004/09/04,1.91,11.0,מועדון כדורסל עוטף ד (לאומית),הפועל נווה שאנן חיפה שובל (ליגת על),מכבי קיסריה (נוער מחוזית שומרון),,,,,,,,,
יהונתן פלד,אליצור שומרון,2006/05/03,2.01,12,,,,,,,,,,,,
יהל פלג,הפועל מגדל העמק/יזרעאל,2002/05/29,1.9,7.0,,הפועל גליל עליון (ליגת על),הפועל גליל עליון (על גברים גמר סל),הפועל גליל עליון (ליגת על),"הפועל גליל עליון (לאומית), הפועל עמק יזרעאל (נוער על צפון)",,,,,,,
יהלי שושן,אליצור יבנה,2005/03/22,2.03,18.0,אליצור שומרון חלפ (לאומית),מכבי תל אביב/שהם (ארצית דרום),מכבי תל אביב טדי (נוער על גמרסל),,,,,,,,,
יהלי שטיינהאור,הפועל מגדל העמק/יזרעאל,2004/01/08,1.93,11.0,"מכבי קרית ביאליק (ארצית צפון), הפועל גליל עליון (ליגת על)",,,,,,,,,,,
יובל בר,מ.ס צפת,2002/08/06,1.97,2.0,הפועל צפת/גליל דניאל (לאומית),"מכבי רעננה עירוני (לאומית), א.ס. רמה""ש ירק השדה (לאומית)",מכבי רעננה עירוני (לאומית),מכבי רעננה עירוני (לאומית),"מכבי רעננה עירוני (נוער על צפון), מכבי רעננה עירוני (לאומית)",,,,,,,
יוגב אוחיון,עירוני נהריה,1987/04/24,1.89,12.0,מכבי רעננה עירוני (לאומית),מכבי רעננה עירוני (לאומית),הפועל נהריה (לאומית),הפועל נהריה (לאומית),הפועל חולון (ליגת על),"הפועל ירושלים ב.יהב (ליגת על), הפועל חולון (ליגת על)",הפועל ירושלים ב.יהב (ליגת על),הפועל ירושלים ב.יהב (ליגת על),"מכבי ת""א פלייטיקה (ליגת על)","מכבי ת""א פלייטיקה (ליגת על)","מכבי ת""א פלייטיקה (ליגת על)","מכבי ת""א פלייטיקה (ליגת על)"
יוגב עובדיה,מכבי גיא נתן חיפה,2003/02/25,1.8,18.0,"מכבי רמת גן קבוצת כנ (ליגת על), עירוני ק.אונו שיקו (ארצית דרום)","מכבי ראשון לציון (לאומית), א.ס. עירוני אשקלון (לאומית)",מכבי ראשון לציון (לאומית),מכבי תל אביב/שהם (ארצית דרום),"מכבי ראשל""צ איציק (נוער על גמרסל)",,,,,,,
