player_name,team,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
ניתאי רוזנברג,הפועל מגדל העמק/יזרעאל,10,6,19.5,6.1,2.0,6.0,33.3,1.0,2.5,40.0,1.0,3.5,28.6,1.1,1.7,64.7,2.1,1.5,3.6,0.9,0.4,1.5,1.7,1.1,0.2,0.0,4.5
נעם נאור,"מכבי פ""ת",9,0,10.3,3.3,1.1,3.0,37.0,0.9,1.7,53.3,0.2,1.3,16.7,0.9,1.3,66.7,1.2,0.2,1.4,1.2,0.3,1.1,1.0,1.3,0.0,0.2,2.9
סי ג'יי ווקר,אליצור יבנה,10,10,33.5,19.1,7.8,14.8,52.7,7.5,13.6,55.1,0.3,1.2,25.0,3.2,5.1,62.7,6.8,3.6,10.4,2.0,1.6,2.1,2.7,4.3,1.3,0.3,24.7
סמאג' טיל,מכבי רחובות,5,3,20.6,9.4,3.4,9.8,34.7,2.8,6.8,41.2,0.6,3.0,20.0,2.0,3.2,62.5,2.0,0.6,2.6,3.8,2.6,1.0,2.4,1.8,0.4,1.6,8.0
עדי כהן סבן,מכבי מעלה אדומים,9,5,26.1,8.2,3.6,6.4,55.2,3.6,6.0,59.3,0.0,0.4,0.0,1.1,2.1,52.6,1.6,0.3,1.9,3.7,2.1,2.9,3.1,1.9,0.1,0.3,7.6
עוז חולי,אליצור יבנה,10,10,29.3,17.0,6.4,13.9,46.0,4.5,9.0,50.0,1.9,4.9,38.8,2.3,3.7,62.2,4.3,0.6,4.9,4.1,1.9,2.3,2.2,3.3,0.2,1.0,17.0
עוז לביא,א.ס. עירוני אשקלון,10,6,23.3,11.0,4.0,7.5,53.3,3.1,5.0,62.0,0.9,2.5,36.0,2.1,2.6,80.8,1.5,1.6,3.1,0.7,0.9,1.0,2.5,2.9,0.1,0.7,10.5
עומר אל על,אליצור יבנה,3,0,6.7,1.3,0.7,2.0,33.3,0.7,1.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.3,1.0,1.0,0.3,1.0,1.0,0.3,0.0,0.0,0.7
עומר בן דוד,עירוני נהריה,10,5,27.0,13.8,4.5,9.7,46.4,2.6,5.1,51.0,1.9,4.6,41.3,2.9,3.6,80.6,3.2,0.8,4.0,4.5,1.4,2.1,2.1,3.1,0.0,0.5,16.2
עומר דרגושנסקי,אליצור שומרון,9,0,9.8,3.4,0.9,2.7,33.3,0.3,1.0,33.3,0.6,1.7,33.3,1.1,1.7,66.7,0.6,0.1,0.7,1.2,0.3,0.3,0.9,1.2,0.0,0.1,3.2
עומר לוי,"א.ס רמה""ש ירק השדה",3,0,5.7,1.7,0.7,1.7,40.0,0.3,0.7,50.0,0.3,1.0,33.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,1.7
עומר פולג,א.ס. עירוני אשקלון,10,3,27.5,14.2,5.6,11.9,47.1,4.3,8.4,51.2,1.3,3.5,37.1,1.7,2.2,77.3,3.7,0.6,4.3,5.2,1.7,2.3,3.1,3.3,0.0,0.5,15.9
עידו דוידי,עירוני נהריה,9,3,13.3,2.9,0.9,2.9,30.8,0.3,0.7,50.0,0.6,2.2,25.0,0.6,0.7,83.3,1.2,0.2,1.4,1.2,0.1,0.8,1.1,0.6,0.0,0.1,2.1
עידו הראל,הפועל אסטרל אילת,8,0,10.8,2.6,1.0,2.9,34.8,0.4,0.8,50.0,0.6,2.1,29.4,0.0,0.2,0.0,0.8,0.2,1.0,0.9,0.4,0.1,1.6,0.1,0.2,0.0,1.4
עידו פליישר,א.ס. עירוני אשקלון,10,9,19.3,5.5,2.4,5.4,44.4,2.4,5.4,44.4,0.0,0.0,0.0,0.7,1.4,50.0,4.4,3.5,7.9,0.9,0.5,2.0,2.4,1.5,1.1,0.3,9.0
עידו רוימי,הפועל חיפה נווה שאנן שובל,1,1,26.0,8.0,3.0,7.0,42.9,1.0,4.0,25.0,2.0,3.0,66.7,0.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,0.0,1.0,9.0
עידו רוימי,הפועל נווה שאנן חיפה,9,8,27.2,13.1,4.2,10.7,39.6,2.2,4.4,50.0,2.0,6.2,32.1,2.7,3.7,72.7,1.7,0.7,2.3,1.9,0.8,1.4,2.9,3.3,0.2,0.4,9.4
עידן אברהם,אליצור יבנה,9,1,10.0,1.0,0.4,1.0,44.4,0.4,0.9,50.0,0.0,0.1,0.0,0.1,0.2,50.0,2.2,1.0,3.2,0.6,0.7,0.4,2.0,0.4,0.8,0.1,3.4
עידן אלבר,הפועל מגדל העמק/יזרעאל,10,0,27.9,17.8,6.0,13.7,43.8,4.2,8.6,48.8,1.8,5.1,35.3,4.0,5.5,72.7,4.8,2.2,7.0,3.3,0.7,2.3,2.1,4.4,0.0,0.7,18.9
עילי שאול,מ.כ עוטף דרום,10,10,28.0,11.4,3.7,9.9,37.4,2.8,6.4,43.7,0.9,3.5,25.7,3.1,3.9,79.5,3.6,0.3,3.9,5.6,1.5,2.9,1.4,4.0,0.0,0.6,14.5
עמיעד ינאי,מכבי מעלה אדומים,5,0,4.0,0.6,0.2,1.2,16.7,0.2,1.2,16.7,0.0,0.0,0.0,0.2,0.4,50.0,0.4,0.2,0.6,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.2
